,Title,Release,Certificate,Runtime,IMDB Rating,Votes,Box Office Earnings,Director,Actors
60,Ford v Ferrari,(2019),PG-13,152 min,8.1,290083,"117,624,028",James Mangold,"['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitriona Balfe']"
61,Into the Wild,(2007),R,148 min,8.1,572391,"18,354,356",Sean Penn,"['Emile Hirsch', 'Vince Vaughn', 'Catherine Keener', 'Marcia Gay Harden']"
62,The Help,(2011),PG-13,146 min,8,428105,"169,708,112",Tate Taylor,"['Emma Stone', 'Viola Davis', 'Octavia Spencer', 'Bryce Dallas Howard']"
63,Snatch,(2000),R,102 min,8.3,781389,"30,328,156",Guy Ritchie,"['Jason Statham', 'Brad Pitt', 'Benicio Del Toro', 'Dennis Farina']"
64,Donnie Darko,(2001),R,113 min,8,739546,"1,480,006",Richard Kelly,"['Jake Gyllenhaal', 'Jena Malone', 'Mary McDonnell', 'Holmes Osborne']"
65,Whiplash,(2014),R,106 min,8.5,716520,"13,092,000",Damien Chazelle,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser']"
66,Deadpool,(2016),R,108 min,8,901967,"363,070,709",Tim Miller,"['Ryan Reynolds', 'Morena Baccarin', 'T.J. Miller', 'Ed Skrein']"
67,Kill Bill: Vol. 1,(2003),R,111 min,8.1,999733,"70,099,045",Quentin Tarantino,"['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen']"
68,Hacksaw Ridge,(2016),R,139 min,8.1,435257,"67,209,615",Mel Gibson,"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer']"
69,The Avengers,(2012),PG-13,143 min,8,1260032,"623,279,547",Joss Whedon,"['Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner']"
70,The Princess Bride,(1987),PG,98 min,8,393608,"30,857,814",Rob Reiner,"['Cary Elwes', 'Mandy Patinkin', 'Robin Wright', 'Chris Sarandon']"
71,Iron Man,(2008),PG-13,126 min,7.9,938878,"318,412,101",Jon Favreau,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Terrence Howard', 'Jeff Bridges']"
72,Dark Waters,(2019),PG-13,126 min,7.6,59859,59859,Todd Haynes,"['Mark Ruffalo', 'Anne Hathaway', 'Tim Robbins', 'Bill Pullman']"
73,"O Brother, Where Art Thou?",(2000),PG-13,107 min,7.7,286310,"45,512,588",Joel Coen,"['Ethan Coen', 'George Clooney', 'John Turturro', 'Tim Blake Nelson', 'John Goodman']"
74,Harry Potter and the Deathly Hallows: Part 2,(2011),PG-13,130 min,8.1,763722,"381,011,219",David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon']"
75,Baby Driver,(2017),R,113 min,7.6,438649,"107,825,862",Edgar Wright,"['Ansel Elgort', 'Jon Bernthal', 'Jon Hamm', 'Eiza González']"
76,The Green Mile,(1999),R,189 min,8.6,1146520,"136,801,374",Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']"
77,The Lord of the Rings: The Two Towers,(2002),PG-13,179 min,8.7,1484313,"342,551,365",Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']"
78,Get Out,(I) (2017),R,104 min,7.7,492160,"176,040,665",Jordan Peele,"['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford', 'Catherine Keener']"
79,The Hobbit: An Unexpected Journey,(2012),PG-13,169 min,7.8,756900,"303,003,568",Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Andy Serkis']"
80,Back to the Future,(1985),PG,116 min,8.5,1057068,"210,609,762",Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover']"
81,Léon: The Professional,(1994),R,110 min,8.5,1034214,"19,501,238",Luc Besson,"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']"
82,Schindler's List,(1993),R,195 min,8.9,1212341,"96,898,818",Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']"
83,Captain America: Civil War,(2016),PG-13,147 min,7.8,662920,"408,084,349",Anthony Russo,"['Joe Russo', 'Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan']"
84,Alien,(1979),R,117 min,8.4,787164,"78,900,000",Ridley Scott,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']"
85,Casino Royale,(2006),PG-13,144 min,8,581864,"167,445,960",Martin Campbell,"['Daniel Craig', 'Eva Green', 'Judi Dench', 'Jeffrey Wright']"
86,American Psycho,(2000),R,101 min,7.6,489302,"15,070,285",Mary Harron,"['Christian Bale', 'Justin Theroux', 'Josh Lucas', 'Bill Sage']"
87,"Three Billboards Outside Ebbing, Missouri",(2017),R,115 min,8.2,431685,"54,513,740",Martin McDonagh,"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell', 'Caleb Landry Jones']"
88,Star Trek,(2009),PG-13,127 min,7.9,577126,"257,730,019",J.J. Abrams,"['Chris Pine', 'Zachary Quinto', 'Simon Pegg', 'Leonard Nimoy']"
89,Harry Potter and the Goblet of Fire,(2005),PG-13,157 min,7.7,548033,"290,013,036",Mike Newell,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Eric Sykes']"
90,One Flew Over the Cuckoo's Nest,(1975),R,133 min,8.7,917259,"112,000,000",Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']"
91,American Beauty,(1999),R,122 min,8.3,1068941,"130,096,601",Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']"
92,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),PG-13,143 min,8,1014588,"305,413,918",Gore Verbinski,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley']"
93,Guardians of the Galaxy Vol. 2,(2017),PG-13,136 min,7.6,569263,"389,813,101",James Gunn,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel']"
94,Indiana Jones and the Raiders of the Lost Ark,(1981),PG,115 min,8.4,883459,"248,159,971",Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']"
95,Moana,(I) (2016),PG,107 min,7.6,272389,"248,757,044",Ron Clements,"['John Musker', 'Don Hall', 'Chris Williams', ""Auli'i Cravalho"", 'Dwayne Johnson', 'Rachel House', 'Temuera Morrison']"
96,Shutter Island,(2010),R,138 min,8.2,1128505,"128,012,934",Martin Scorsese,"['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo', 'Ben Kingsley']"
97,Terminator 2: Judgment Day,(1991),R,137 min,8.5,994787,"204,843,350",James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']"
98,Predator,(1987),R,107 min,7.8,371114,"59,735,548",John McTiernan,"['Arnold Schwarzenegger', 'Carl Weathers', 'Kevin Peter Hall', 'Elpidia Carrillo']"
99,Taxi Driver,(1976),R,114 min,8.3,723827,"28,262,574",Martin Scorsese,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd', 'Albert Brooks']"
